Superficie,Tipo,Operación,Provincia,Precio Venta,Fecha Venta
291,Parking,Alquiler,Lleida,2133903,2004-06-19
199,Local,Venta,Girona,1945424,2004-04-19
82,Oficina,Alquiler,Girona,712416,2004-11-08
285,Parking,Alquiler,Girona,1815450,2004-04-27
152,Suelo,Venta,Tarragona,1138024,2004-07-10
131,Industrial,Alquiler,Girona,953156,2004-09-05
69,Parking,Alquiler,Tarragona,406686,2004-06-07
235,Oficina,Venta,Girona,2158475,2004-10-31
108,Piso,Alquiler,Lleida,1024380,2004-12-28
299,Parking,Venta,Lleida,2042768,2004-10-06
124,Oficina,Alquiler,Girona,627068,2004-10-28
187,Industrial,Venta,Girona,999328,2004-04-05
300,Parking,Venta,Barcelona,2937300,2004-11-04
68,Local,Venta,Tarragona,664700,2004-10-01
176,Industrial,Alquiler,Girona,820336,2004-11-29
179,Casa,Alquiler,Girona,937960,2004-11-21
58,Casa,Alquiler,Tarragona,358846,2004-10-08
283,Suelo,Venta,Barcelona,1679605,2004-06-06
55,Piso,Alquiler,Girona,472615,2004-04-09
148,Oficina,Alquiler,Barcelona,1169496,2004-08-19
228,Industrial,Venta,Barcelona,2020992,2004-06-12
116,Oficina,Alquiler,Lleida,727552,2004-04-14
183,Casa,Alquiler,Girona,1438929,2004-04-21
79,Oficina,Alquiler,Tarragona,427390,2004-12-01
124,Oficina,Alquiler,Barcelona,1170684,2004-05-23
70,Local,Alquiler,Tarragona,549780,2004-06-22
70,Local,Alquiler,Tarragona,659330,2004-12-23
187,Casa,Alquiler,Barcelona,1660560,2004-06-16
91,Casa,Alquiler,Tarragona,753571,2004-07-07
201,Local,Alquiler,Tarragona,939072,2004-08-04
142,Industrial,Alquiler,Barcelona,1405374,2004-09-24
92,Casa,Alquiler,Girona,627348,2004-04-12
181,Local,Alquiler,Barcelona,1504110,2004-07-03
281,Casa,Venta,Barcelona,2483197,2004-11-01
257,Industrial,Alquiler,Tarragona,1799771,2004-12-31
140,Industrial,Alquiler,Tarragona,1054340,2004-12-02
229,Local,Venta,Girona,1160572,2004-07-09
300,Suelo,Alquiler,Tarragona,1492800,2004-12-08
215,Parking,Alquiler,Tarragona,1154980,2005-01-14
182,Oficina,Venta,Girona,1057784,2004-07-22
230,Piso,Venta,Barcelona,1421860,2004-09-23
168,Oficina,Venta,Tarragona,1426992,2004-11-20
74,Oficina,Alquiler,Girona,579716,2004-09-22
278,Casa,Venta,Girona,1537062,2004-12-16
287,Oficina,Alquiler,Barcelona,2851058,2005-01-02
224,Oficina,Alquiler,Lleida,1294048,2004-10-29
53,Piso,Alquiler,Barcelona,249418,2004-08-11
284,Industrial,Venta,Barcelona,1457488,2004-07-06
40,Local,Venta,Girona,321680,2005-01-11
235,Local,Alquiler,Tarragona,957625,2004-11-13
90,Industrial,Venta,Lleida,568620,2004-12-14
206,Local,Alquiler,Lleida,1605564,2004-09-26
158,Suelo,Alquiler,Tarragona,1438748,2004-10-17
71,Suelo,Alquiler,Barcelona,686996,2004-05-30
127,Local,Venta,Girona,983234,2004-07-09
54,Piso,Venta,Lleida,239220,2004-05-01
54,Oficina,Alquiler,Lleida,512730,2004-07-04
274,Local,Alquiler,Girona,2287626,2004-12-21
166,Industrial,Venta,Tarragona,1373816,2004-11-19
270,Oficina,Alquiler,Lleida,1920240,2004-06-28
120,Casa,Venta,Tarragona,1140840,2004-09-12
178,Industrial,Venta,Tarragona,1142938,2005-01-23
144,Piso,Venta,Barcelona,738144,2004-09-06
57,Industrial,Venta,Lleida,509010,2004-10-13
144,Oficina,Venta,Tarragona,1436832,2004-05-26
272,Suelo,Venta,Lleida,2119424,2004-12-24
219,Industrial,Alquiler,Barcelona,948927,2004-10-15
68,Local,Alquiler,Barcelona,376992,2004-06-28
248,Local,Venta,Girona,2212408,2004-10-09
179,Casa,Alquiler,Tarragona,1647695,2004-07-12
235,Casa,Venta,Girona,1939925,2004-11-01
216,Suelo,Venta,Tarragona,1478952,2004-10-15
62,Parking,Alquiler,Barcelona,320044,2004-09-04
229,Industrial,Venta,Girona,1098055,2004-10-22
41,Suelo,Venta,Tarragona,187862,2004-08-14
234,Suelo,Alquiler,Tarragona,1757106,2004-12-28
112,Industrial,Alquiler,Tarragona,1104992,2004-06-25
87,Piso,Venta,Lleida,448485,2004-10-04
298,Parking,Venta,Barcelona,2520484,2004-11-27
217,Parking,Alquiler,Barcelona,1339107,2004-10-05
236,Industrial,Alquiler,Barcelona,1812244,2004-11-17
117,Parking,Venta,Girona,1069731,2004-09-14
56,Suelo,Venta,Lleida,471072,2004-05-29
94,Piso,Venta,Barcelona,470940,2004-07-28
127,Local,Alquiler,Barcelona,925322,2004-06-03
275,Piso,Venta,Girona,2141700,2005-01-08
93,Industrial,Alquiler,Barcelona,778875,2004-05-12
58,Parking,Alquiler,Tarragona,421196,2004-10-10
49,Local,Alquiler,Barcelona,219716,2004-09-27
292,Suelo,Venta,Girona,2685816,2004-07-24
123,Industrial,Alquiler,Barcelona,723609,2004-12-16
48,Piso,Alquiler,Barcelona,388032,2004-05-06
132,Industrial,Alquiler,Tarragona,922020,2004-10-23
177,Industrial,Alquiler,Barcelona,965358,2004-06-08
68,Local,Venta,Barcelona,663816,2004-05-23
103,Industrial,Alquiler,Tarragona,728931,2005-02-05
96,Suelo,Venta,Tarragona,625536,2004-11-07
227,Casa,Venta,Lleida,1467782,2005-02-01
251,Industrial,Alquiler,Girona,2067236,2004-12-22
125,Local,Alquiler,Tarragona,531375,2004-06-23
162,Suelo,Alquiler,Girona,710694,2004-09-27
45,Local,Venta,Barcelona,438435,2004-05-23
258,Casa,Alquiler,Girona,1188090,2004-07-19
104,Oficina,Venta,Tarragona,699400,2004-07-14
238,Piso,Alquiler,Girona,1854496,2005-02-02
300,Piso,Alquiler,Lleida,2105700,2005-01-26
222,Suelo,Alquiler,Girona,1791318,2004-12-13
187,Suelo,Alquiler,Tarragona,1782297,2004-12-20
300,Suelo,Alquiler,Barcelona,1528200,2004-08-09
206,Parking,Venta,Barcelona,1587642,2004-12-20
162,Suelo,Alquiler,Tarragona,954666,2004-11-25
160,Local,Alquiler,Lleida,1064800,2004-09-22
89,Suelo,Alquiler,Barcelona,887241,2005-01-02
103,Suelo,Venta,Girona,806799,2005-01-11
54,Industrial,Venta,Tarragona,438750,2004-08-15
103,Parking,Venta,Girona,973659,2005-01-04
274,Oficina,Venta,Girona,1724008,2004-09-26
253,Oficina,Venta,Girona,2047276,2004-09-10
51,Parking,Venta,Lleida,307989,2004-07-06
174,Piso,Venta,Tarragona,973878,2004-12-13
152,Parking,Venta,Barcelona,688864,2004-12-06
270,Casa,Alquiler,Barcelona,1385910,2005-02-05
179,Local,Alquiler,Girona,1461356,2004-07-30
212,Suelo,Alquiler,Tarragona,926228,2004-09-05
118,Industrial,Venta,Girona,1067192,2004-08-25
194,Industrial,Venta,Tarragona,1373132,2004-08-31
139,Industrial,Venta,Barcelona,1087119,2004-05-29
130,Casa,Venta,Tarragona,1230190,2005-01-04
206,Parking,Alquiler,Lleida,1363926,2005-01-08
216,Oficina,Venta,Tarragona,1389096,2004-11-23
55,Local,Venta,Lleida,477345,2004-09-04
